feature_id	rt	mz
1	0.28103085200000000	294.154304395884
2	0.2336211233333330	268.10353501502900
3	0.214222162	280.1387571772680
4	10.5131858	520.3392062623030
5	4.741003600000000	301.070604525337
6	0.19846394	266.12305907917200
7	0.433656846	328.1387381620450
8	6.7685080600000000	315.08635466044600
9	0.27958086600000000	276.1438834221660
10	0.24692483400000000	294.15431900882600
11	5.6472155600000000	394.1882598716220
12	2.798201225	449.10772704699000
13	0.28103085200000000	210.11556466066700
14	0.18847149	381.0789285539870
15	9.720225200000000	518.3234693820250
16	0.191013976	293.06312324825300
17	0.206435122	252.10749241144300
18	11.0838388	496.3398787806090
19	0.192724185	219.0264594645230
20	5.642722825	787.3684838138580
21	0.24647775600000000	344.13389371923000
22	0.21171592400000000	262.1281892869240
23	8.798728133333330	316.2847443388540
24	0.19797743333333300	425.10523504761300
25	0.20251307	278.1230243570490
26	0.25307729000000000	284.0986320268950
27	9.596847133333330	321.1697048928960
28	0.204979718	234.0969156352780
29	0.24236487400000000	346.1176971448080
30	0.21171592400000000	295.113149597064
31	6.77143682	347.18547093670300
32	2.94234086	479.1182962030460
33	2.803827833333330	463.0870475961470
34	0.194419405	557.1472397111540
35	0.20502347400000000	282.11807207105700
36	0.187959426	342.13887101097500
37	0.23238016666666700	182.08098550568500
38	9.5846655	343.15182330165400
39	10.2476044	520.3398476041450
40	0.42853105400000000	166.0861333996690
41	2.18179835	265.14322325904800
42	10.4583338	353.2682886621030
43	2.2253964	505.2080138435110
44	6.7759332	369.1673618727130
45	4.620524275	287.0549008992950
46	2.3662465800000000	465.1022723871870
47	6.332107025000000	357.1669586416670
48	7.055340083333330	345.1690052888400
49	10.44559575	335.1843716528630
50	14.533419200000000	593.2759211490180
51	0.211480502	196.09993391744600
52	9.381412933333330	277.21654583669200
53	10.5151514	279.6469134916050
54	10.187002	279.23177205758800
55	4.9045715000000000	584.2757429261870
56	10.256480166666700	279.2317442926160
57	2.1932810500000000	449.17702731479900
58	7.04758494	367.1504013196360
59	2.194818	311.08832402831600
60	2.6727714	505.20834623324800
61	14.12324	609.2712045863370
62	0.45856292	310.12803894923800
63	2.3410543000000000	479.0812010788740
64	7.239122966666670	371.18232362930700
65	0.20114808400000000	248.1125772575760
66	0.188367334	249.0367054319640
67	6.775742233333330	392.2433763900100
68	0.42567858	244.09984124362500
69	8.095242500000000	321.1699134143620
70	6.31189128	335.1847860101450
71	7.3466729000000000	371.1821254120540
72	0.18579193	365.104917190608
73	6.822541900000000	247.13296456295800
74	6.315837325	352.2120228392500
75	2.22210375	444.22117625154100
76	6.7386800000000000	364.2121920629280
77	2.7645629200000000	537.236475242936
78	7.236262720000000	349.20044876500900
79	9.4658606	277.21622777194600
80	3.262123475	349.12555663493900
81	11.4693814	522.3555268154690
82	7.523327233333330	369.16604051666300
83	2.5273640000000000	495.11339758413200
84	9.72746806	278.6390691639770
85	0.248147748	260.09498278834800
86	2.19154145	247.13259833716900
87	10.4500435	357.16709236594900
88	6.771166566666670	715.3470509882320
89	6.3446782000000000	380.24287244207400
90	4.82247805	317.0652205897010
91	5.7393706	409.1939703129510
92	6.28912108	247.13269972058400
93	11.465036	522.3553893523520
94	2.1877368000000000	350.0955634558930
95	0.6850642440000000	205.0969991169620
96	13.41703775	425.37763144047300
97	10.4738495	295.22651645137900
98	7.47172518	347.1842538655530
99	9.45496746	518.3237510774660
100	10.695092	295.2267723029760
101	10.620645833333300	295.2266650446450
