adduct	mass
proton	1.0072765
ammonium	17.026547
water	18.01056
sodium	22.98922
magnesium	23.98504
methanol	32.02621
chlorine	34.96940
potassium	38.96316
calcium	39.96259
acetonitrile	41.02655
formic	46.00548
ethylamine	46.06513
iron	55.93494
acetic	60.02113
isopropanol	61.06534
bromine	78.91834
dmso	79.02122
tfa	113.99286
